last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_total_pa,p_ab,p_total_hits,p_single,p_double,p_triple,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,p_earned_run,p_run,p_save,p_blown_save,p_out,p_win,p_loss,p_wild_pitch,p_balk,p_shutout,p_era,p_opp_batting_avg,p_opp_on_base_avg,p_total_stolen_base,p_pickoff_attempt_1b,p_pickoff_attempt_2b,p_pickoff_attempt_3b,p_pickoff_1b,p_pickoff_2b,p_pickoff_3b,p_lob,p_rbi,p_stolen_base_2b,p_stolen_base_3b,p_stolen_base_home,p_quality_start,p_walkoff,p_run_support,p_ab_scoring,p_automatic_ball,p_ball,p_called_strike,p_catcher_interf,p_caught_stealing_2b,p_caught_stealing_3b,p_caught_stealing_home,p_complete_game,p_defensive_indiff,p_foul,p_foul_tip,p_game_finished,p_game_in_relief,p_gnd_into_dp,p_gnd_into_tp,p_gnd_rule_double,p_hit_by_pitch,p_hit_fly,p_hit_ground,p_hit_line_drive,p_hit_into_play,p_hit_scoring,p_hold,p_intent_ball,p_intent_walk,p_missed_bunt,p_out_fly,p_out_ground,p_out_line_drive,p_passed_ball,p_pickoff_error_1b,p_pickoff_error_2b,p_pickoff_error_3b,p_pitchout,p_relief_no_out,p_sac_bunt,p_sac_fly,p_starting_p,p_swinging_strike,p_unearned_run,p_total_ball,p_total_bases,p_total_caught_stealing,p_total_pickoff,p_total_pickoff_attempt,p_total_pickoff_error,p_total_pitches,p_total_sacrifices,p_total_strike,p_total_swinging_strike,p_inh_runner,p_inh_runner_scored,p_beq_runner,p_beq_runner_scored,p_reached_on_error,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadif,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,fastball_range_speed,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,breaking_avg_break,breaking_range_speed,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,offspeed_avg_break,offspeed_range_speed,
Wainwright, Adam,425794,2021,40,26,169.2,679,627,135,85,31,2,17,155,40,22.8,5.9,.215,.352,.271,.623,.137,56,57,0,0,509,13,7,3,1,1,2.97,.215,,3,31,3,0,0,0,0,112,54,2,0,1,18,0,0,147,12,782,555,0,2,0,1,3,0,372,14,0,0,11,0,1,9,21,34,79,475,21,0,0,3,6,82,189,49,0,0,2,0,0,0,2,1,26,218,1,849,221,3,0,34,2,2483,3,1634,204,0,0,0,0,2,.246,.381,.271,.299,.300,.135,.319,.358,.285,.326,-0.031,-0.029,-0.028,88.8,10.2,35.8,31,6.5,6.5,26.1,22.3,35.6,2.9,37.5,60,11.5,27.3,38.8,60.1,133,343,50.6,1256,65.3,7.8,149,1460,865,2483,87.1,85,736,49.4,1227,44.9,1116,20.2,43.5,39.4,37.7,22.9,475,64.2,46.9,223,21.9,104,26.9,128,4.2,20,R,2474,9.7,89.2,2229,-2.2,-19.2,15.4,1.4,,,,,,,,6,82.7,1736,-13.8,-31.9,16.1,1.7,35,73.5,2844,16.5,-66.2,22.2,1.6,27.4,89.1,2233,-12.6,-22.1,17.8,1.5,21.9,85.1,2405,6.3,-30.8,9.6,1.6,,,,,,,,,,,,,,,59,87.6,2296,-3.9,-24.8,14.3,2.7,35,73.5,2844,16.5,-66.2,22.2,1.6,6,82.7,1736,-13.8,-31.9,16.1,1.7,
Greinke, Zack,425844,2021,38,26,155.2,623,587,143,95,24,0,24,109,30,17.5,4.8,.244,.407,.281,.688,.163,59,61,0,0,467,11,4,3,0,0,3.41,.244,,6,44,1,0,0,0,0,98,57,6,0,0,15,0,0,117,0,763,405,0,1,0,0,1,0,356,20,0,0,18,0,5,2,29,45,69,482,21,0,0,0,0,89,173,48,0,0,0,0,0,0,1,3,26,238,2,846,239,1,0,45,0,2330,4,1484,218,0,0,0,0,2,.254,.404,.296,.305,.293,.150,.336,.349,.297,.312,-0.010,.003,-0.009,87.7,10.8,35.1,30,6.2,6,23.9,24.7,34,5.2,33,66.3,12.5,29.6,39.9,59.8,150,376,54.5,1269,75.3,6.4,517,1055,741,2330,87.2,88,703,45.5,1061,42.9,999,22.1,46.3,36.7,35.9,27.4,482,66.1,45.2,218,24.7,119,24.7,119,5.4,26,R,2313,39.7,88.9,2231,-1.2,-18.1,16.6,1.3,15.3,83.5,2350,7.9,-36.1,8.9,1.6,22.4,86.4,1588,-12.8,-32,13.8,1.2,16.7,71.1,2355,11.4,-65.1,15.6,2.2,5.9,89.5,2150,-13,-23.1,17.1,1.2,,,,,,,,,,,,,,,,,,,,,,45.6,89,2220,-2.7,-18.7,16.7,1.3,32,77,2353,9.7,-51.3,12.4,7.1,22.4,86.4,1588,-12.8,-32,13.8,1.2,
Morton, Charlie,450203,2021,38,25,139.0,573,506,107,80,12,2,13,166,46,29.0,8.0,.211,.320,.290,.610,.109,55,63,0,0,417,12,5,3,0,0,3.56,.211,,6,37,1,0,0,0,0,90,58,6,0,0,13,0,0,132,4,750,434,0,0,0,0,0,0,380,26,0,0,11,0,1,13,14,38,54,348,37,0,0,1,3,48,137,34,0,2,0,0,0,0,4,4,25,297,8,800,162,0,0,38,2,2268,8,1468,271,0,0,0,0,3,.214,.324,.274,.281,.296,.110,.335,.346,.312,.318,-0.002,-0.002,-0.007,88.3,7.3,29.9,18,4.9,5.5,27.2,19.5,37.4,5.2,33,64.4,19.5,27,51.4,47.6,163,317,49.6,1172,77.1,7.6,109,1401,854,2364,79.6,150,768,50.4,1192,43,1017,28.8,45.9,39.8,32.1,28,364,58.4,50.3,183,18.4,67,25.8,94,5.5,20,R,2364,35,95.5,2333,-13.1,-17.3,18.4,1.1,,,,,,,,4.6,86.5,2083,-18.5,-33.2,19,1.4,36.1,80.5,3050,16.7,-53.1,19.8,1.3,14.7,94.6,2115,-17.5,-24.6,18.5,1.2,9.5,87.5,2411,2.4,-31.6,5.3,1.5,,,,,,,,,,,,,,,59.3,94,2291,-11.7,-21.4,16.3,3.4,36.1,80.5,3050,16.7,-53.1,19.8,1.3,4.6,86.5,2083,-18.5,-33.2,19,1.4,
Scherzer, Max,453286,2021,37,24,140.0,543,497,90,53,16,1,20,188,33,34.6,6.1,.181,.338,.245,.583,.157,39,41,0,0,420,12,4,1,0,0,2.51,.181,,6,15,0,0,0,0,0,87,39,6,0,0,14,0,0,90,0,726,359,0,5,0,0,1,0,416,28,0,0,10,0,0,10,23,28,39,312,10,0,0,0,1,79,84,23,0,0,0,0,0,0,2,1,24,385,2,777,168,5,0,15,0,2255,3,1478,357,0,0,0,0,3,.191,.360,.256,.271,.255,.169,.350,.376,.290,.306,-0.010,-0.022,-0.015,88.3,19.2,31.1,31,9.9,5.1,19.9,35.3,25,4.8,34,70.6,26.4,28.1,55.1,44.2,172,312,49.3,1112,78.7,7.9,333,1281,641,2255,73.1,213,807,50.7,1143,42.9,967,34.4,49.6,35.9,37.2,26.9,312,63,35.9,112,33,103,19.9,62,11.2,35,R,2255,47.8,94.3,2438,-10.6,-14.6,19.5,1.4,19.3,85.8,2282,3,-32.8,5.7,1.4,14.8,84.9,1429,-15.3,-33.9,16,1.3,9.1,76.9,2657,13.8,-54.3,16,1.5,,,,,,,,9,90.1,2485,-0.8,-24.7,9.3,1.3,,,,,,,,,,,,,,,56.8,93.6,2445,-9.1,-16.2,17.9,2.2,28.4,82.9,2402,6.5,-39.7,9,4.8,14.8,84.9,1429,-15.3,-33.9,16,1.3,
Lynn, Lance,458681,2021,34,24,135.2,557,509,104,69,18,1,16,152,42,27.3,7.5,.204,.338,.266,.604,.134,39,43,0,0,407,10,4,5,0,1,2.59,.204,,12,32,0,0,0,0,0,106,38,11,1,0,13,0,0,108,5,797,319,2,3,0,0,1,0,468,27,0,0,4,0,2,2,23,36,45,360,16,0,0,2,0,82,103,33,1,1,0,0,0,0,1,1,24,293,4,826,172,3,0,32,1,2269,2,1443,266,0,0,0,0,7,.192,.309,.265,.252,.256,.116,.327,.307,.291,.274,.012,.029,.013,88.2,16.8,31.2,21,5.8,5.6,20.6,31.5,29.2,3.1,36.1,72.8,21.6,26.4,39.5,59.4,113,286,50,1082,81.5,7.5,108,2008,48,2269,78.3,170,788,50,1082,40.4,874,26.1,49.5,37.6,33.4,29,359,58,38.7,139,29.8,107,21.7,78,9.7,35,R,2164,41.7,93.9,2399,-5.9,-16.1,16.1,1.6,,,,,,,,5,87.6,1795,-13.6,-28.9,15.3,2,2.2,81.2,2406,6.7,-48.6,10,1.8,20,92.4,2228,-12.8,-25.7,14.4,1.5,31.1,88.6,2532,2.7,-30.1,6.2,1.9,,,,,,,,,,,,,,,92.8,91.8,2407,-4.5,-22.8,12.4,3.2,2.2,81.2,2406,6.7,-48.6,10,1.8,5,87.6,1795,-13.6,-28.9,15.3,2,
Miley, Wade,489119,2021,35,24,144.2,599,543,130,88,30,2,10,112,46,18.7,7.7,.239,.357,.299,.656,.118,44,46,0,0,434,11,4,2,0,1,2.74,.239,,2,50,4,0,2,1,0,120,41,2,0,0,14,0,0,135,0,766,349,0,1,0,0,1,0,363,24,0,0,15,0,1,3,18,42,69,438,19,0,0,0,2,66,181,42,0,1,0,0,0,0,6,1,24,251,2,858,194,1,3,54,1,2274,7,1416,227,0,0,0,0,5,.243,.375,.290,.303,.307,.132,.320,.338,.301,.307,-0.004,-0.018,-0.013,85.5,8.3,31.5,24,5.5,7.1,21.5,18.9,39,7.8,33.3,70.3,17.8,30.4,32.9,66.1,133,404,58.5,1331,80.7,3.6,614,1461,197,2274,80.5,118,663,41.5,943,46.3,1053,23.5,46.9,39,37.7,23.3,438,57.8,50.9,223,19.4,85,25.3,111,4.3,19,L,2272,16.1,89.8,2241,3,-17,17.1,1.4,4.8,78.9,2299,-11.5,-40.1,12.7,1.7,27,81.7,1801,14.9,-33.9,16.6,1.4,3.8,74.8,2391,-10.7,-57.7,14.5,1.7,1.2,88.6,2016,13.6,-22.2,18.7,1.5,47,85.2,2272,-3.9,-30.4,8.3,1.5,,,,,,,,,,,,,,,64.3,86.4,2259,-1.9,-26.9,10.7,2.7,8.7,77.1,2340,-11.1,-47.9,13.5,2.7,27,81.7,1801,14.9,-33.9,16.6,1.4,
Minor, Mike,501985,2021,34,26,147.2,624,574,146,83,34,4,25,142,41,22.8,6.6,.254,.458,.308,.766,.204,87,89,0,0,443,8,11,3,0,0,5.30,.254,,3,73,0,0,1,0,0,93,79,2,1,0,8,0,0,118,0,805,395,0,3,0,0,0,0,450,26,0,0,11,0,1,5,39,45,61,436,42,0,0,0,0,78,125,38,0,0,0,0,0,0,2,2,26,289,2,862,263,3,1,73,0,2438,4,1576,263,0,0,0,0,6,.243,.449,.328,.323,.298,.206,.396,.390,.336,.321,.011,.009,.005,88.9,16.7,35.3,43,9.9,6.9,20.2,29.1,30,3.7,37.6,68.2,18.4,30,37.3,62.7,141,378,51.7,1260,79.9,6.1,479,1031,928,2438,80.8,148,803,48.3,1178,45.4,1106,24.5,48.4,44,33.3,22.7,436,61.1,39,170,27.3,119,22.9,100,10.8,47,L,2438,42.3,90.9,2545,2.1,-18,15.2,1.5,21.9,85.6,2720,-5.3,-34.9,6.2,1.4,19.6,85.3,2243,16.9,-26,20.6,1.8,16.2,80.4,2492,-6.9,-54.7,14.2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,90.9,2545,2.1,-18,15.2,1.5,38.1,83.4,2623,-6,-43.3,9.6,3.3,19.6,85.3,2243,16.9,-26,20.6,1.8,
Gibson, Kyle,502043,2021,34,25,150.0,613,548,124,89,24,0,11,116,53,18.9,8.6,.226,.330,.299,.629,.104,49,51,0,0,450,10,5,2,0,0,2.94,.226,,2,65,2,0,1,0,0,112,40,2,0,0,18,0,0,122,4,855,402,0,2,0,0,0,0,358,15,0,1,14,0,0,6,17,48,59,438,23,0,0,1,0,58,182,44,2,1,0,0,0,0,1,5,24,249,2,917,181,2,1,67,1,2366,6,1449,234,0,0,0,0,2,.239,.350,.279,.297,.312,.110,.298,.323,.284,.302,-0.013,-0.020,-0.018,88.3,7.3,30.4,18,4.1,5.3,25.1,22.1,39,4.3,37.9,68.3,14,26.9,41.6,58.4,154,370,58.1,1375,76.5,4.9,335,1437,594,2366,85.7,95,677,41.9,991,44.5,1053,23.8,44.3,38.1,43.2,18.7,438,59.2,52.5,230,17.6,77,24.2,106,5.7,25,R,2366,12.9,92.9,2293,-5.6,-15.3,17.5,1.2,16.1,83.3,2512,5.7,-40.3,6.4,1.2,14.2,84.8,1646,-14.6,-34,15.3,1.3,9,79.3,2433,7.1,-51.9,11.2,1.3,34.4,92.3,2142,-15,-24.2,17.2,1.3,13.4,89.3,2367,1.9,-26.3,8.5,1.3,,,,,,,,,,,,,,,60.7,91.8,2224,-9.3,-22.8,15.3,1.9,25.1,81.9,2484,6.2,-44.5,8.1,2.4,14.2,84.8,1646,-14.6,-34,15.3,1.3,
Darvish, Yu,506433,2021,35,24,137.1,553,509,110,56,29,3,22,164,31,29.7,5.6,.216,.415,.269,.684,.199,58,60,0,0,412,7,8,7,0,0,3.80,.216,,13,33,1,0,0,0,0,80,57,13,0,0,11,0,0,110,0,705,399,0,1,0,0,0,0,414,16,0,0,10,0,1,8,33,29,48,350,24,0,0,0,0,70,103,30,0,0,0,0,0,0,0,5,24,298,2,755,211,1,0,34,0,2221,5,1466,282,0,0,0,0,3,.204,.353,.292,.271,.261,.149,.384,.351,.314,.300,.012,.062,.021,87.8,16.7,35.4,27,7.7,8.3,21.7,30.3,27.4,4,34,66.5,19.9,26.7,51.1,48.5,140,274,46.3,1028,74.5,8.6,112,1422,686,2221,79.6,158,793,53.7,1193,43.8,972,27.9,48,39.4,37.1,23.4,350,60.2,37.7,132,30.3,106,22.9,80,9.1,32,R,2220,20.1,94.6,2526,-6.2,-11.8,20,1.4,23.6,81.7,2760,16,-43.3,16.5,2.1,0,80.2,1390,-13.6,-36.4,15.1,,7.3,75.2,2709,9.4,-63.3,17.2,4.3,6.4,94.2,2421,-13.9,-18.2,20.1,4.1,37.5,86.6,2774,4.9,-34.5,6.6,2.7,5,89.4,1456,-7.4,-27.4,11.1,2.3,,,,,,,,64.1,89.9,2660,-0.5,-25.8,12.1,5.1,30.9,80.1,2748,14.5,-48,16.7,4.2,5,89.3,1455,-7.5,-27.5,11.1,2.4,
Kelly, Merrill,518876,2021,33,24,142.1,595,552,143,93,28,4,18,118,33,19.8,5.5,.259,.422,.301,.723,.163,68,72,0,0,427,7,9,2,0,0,4.30,.259,,8,84,1,1,2,0,0,93,64,7,0,1,10,0,0,123,12,667,378,0,1,3,0,0,0,392,24,0,0,8,0,2,3,31,44,68,441,30,0,0,3,3,73,152,44,1,0,0,0,0,0,4,3,24,224,4,710,233,3,2,86,0,2157,7,1447,200,0,0,0,0,2,.262,.408,.310,.311,.306,.147,.364,.366,.327,.332,-0.003,.014,-0.001,89.1,13,33.1,27,6.1,6.8,27.4,25.9,28.8,5,39.5,70.1,13.6,27.3,41.3,56.9,117,283,48,1036,79.8,7.8,362,1401,394,2157,85.5,107,786,52,1121,45.4,979,21,49.6,41,32.7,26.3,441,62.4,44.4,196,24,106,25.6,113,5.9,26,R,2157,31.9,91.8,2361,-7.1,-16.8,17.4,1.5,,,,,,,,16.8,87.2,1975,-15.3,-30.3,16.7,1.5,18.3,81.3,2569,9.1,-51.4,13.6,1.7,19.1,91.7,2246,-15.3,-24,17.8,1.4,14,90.9,2324,-1.6,-20.1,13.1,1.4,,,,,,,,,,,,,,,65,91.6,2319,-8.3,-19.6,16.6,1.5,18.3,81.3,2569,9.1,-51.4,13.6,1.7,16.8,87.2,1975,-15.3,-30.3,16.7,1.5,
Anderson, Tyler,542881,2021,32,24,137.1,571,529,135,88,24,2,21,111,28,19.4,4.9,.255,.427,.287,.714,.172,62,64,0,0,412,6,9,1,1,0,4.06,.255,,6,59,1,0,1,0,0,92,60,4,2,0,9,0,0,115,1,621,327,0,1,0,0,0,0,430,19,0,0,7,0,0,1,29,36,68,431,27,0,0,1,0,87,127,44,1,0,0,0,0,0,7,6,24,268,2,648,226,1,1,60,0,2117,13,1469,249,0,0,0,0,5,.258,.413,.306,.312,.297,.154,.360,.368,.318,.327,-0.003,.014,-0.006,87.2,17.9,36.7,33,7.7,6,24.8,30.2,23.7,7.2,33.4,73.1,19.5,32.6,33.3,64.5,109,327,47.3,1002,82.1,7.1,529,1572,15,2117,79.8,159,815,52.7,1115,45.6,965,23.5,53.9,39.9,38.5,21.6,431,69.2,37.8,163,28.1,121,26.2,113,7.9,34,L,2116,39.7,90.4,2307,9.4,-15.5,20.6,1.7,,,,,,,,25,80.8,1847,12.7,-28.3,18.8,1.6,0.7,74.5,2458,-6,-53.8,9.1,1.5,7.7,88.9,2253,18.5,-28.4,20,1.3,26.9,85,2500,-2.2,-27.8,10.4,2.2,,,,,,,,,,,,,,,74.3,88.3,2371,6.2,-21.3,16.8,3.4,0.7,74.5,2458,-6,-53.8,9.1,1.5,25,80.8,1847,12.7,-28.3,18.8,1.6,
Cole, Gerrit,543037,2021,31,24,148.0,583,546,114,79,16,1,18,200,32,34.3,5.5,.209,.341,.252,.593,.132,46,49,0,0,444,13,6,5,0,1,2.80,.209,,9,39,2,0,0,0,0,92,44,8,1,0,16,0,0,107,0,746,429,0,0,0,0,2,0,437,25,0,0,12,0,2,1,27,36,51,350,15,0,0,0,0,69,112,25,1,0,0,0,0,0,0,4,24,371,3,792,186,0,0,41,0,2381,4,1589,346,0,0,0,0,2,.200,.350,.258,.261,.245,.150,.364,.370,.326,.314,.009,-0.009,-0.003,88.8,12.9,31.1,33,9.4,4.3,24,27.7,30.6,3.7,38,66,23.9,32.4,47.6,52.1,189,397,51.4,1225,77.9,8,346,1128,907,2381,76,182,763,48.6,1156,43.5,1036,32,48.7,29.4,42.9,27.7,350,67.2,42.3,148,28.3,99,22,77,7.4,26,R,2381,46.7,97.6,2459,-12.1,-10.8,21.8,1.4,21.6,88.4,2607,5.3,-34,6,1.6,14.5,89.7,1721,-15.6,-23.9,18.9,1.5,16.5,83.3,2798,10.5,-51.7,16.1,1.8,0.7,97.6,2372,-16.7,-14.8,21.9,1.4,,,,,,,,,,,,,,,,,,,,,,47.4,97.6,2458,-12.1,-10.9,21.8,1.4,38.1,86.2,2689,7.6,-41.7,10.4,3.3,14.5,89.7,1721,-15.6,-23.9,18.9,1.5,
